key,x,y,width,height
102,19,12,4,2
103,11,12,12,6
104,19,22,2,1
105,7,9,2,14
106,5,7,14,4
107,1,22,7,1
108,3,19,17,2
109,15,19,5,2
110,6,19,9,2
111,19,13,4,8
112,8,15,1,6
113,19,18,4,3
114,14,7,5,7
115,3,18,12,2
116,13,14,5,3
117,10,21,3,1
118,20,9,1,11
119,10,16,4,6
120,22,19,1,4
121,21,16,1,3
122,15,22,5,1
123,8,20,13,2
124,9,2,3,2
125,6,20,9,2
126,1,10,6,6
127,3,22,17,1
128,11,9,1,2
129,13,6,6,8
130,5,4,11,2
131,5,17,8,4
132,21,9,1,14
133,0,16,15,4
134,2,18,2,2
135,7,0,7,4
136,6,1,1,9
137,20,12,2,8
138,5,8,4,5
139,20,4,2,15
140,1,22,22,1
141,18,9,1,3
142,17,3,6,1
143,5,15,18,8
144,21,21,1,2
145,2,22,16,1
146,13,18,2,5
147,2,2,9,4
148,11,22,7,1
149,8,7,2,11
150,16,22,7,1
151,16,22,5,1
152,4,4,10,4
153,22,12,1,9
154,14,7,7,11
155,17,21,3,1
156,15,11,4,3
157,3,4,12,4
158,6,15,3,8
159,3,22,9,1
160,11,10,12,13
161,8,9,13,3
162,6,1,4,8
163,10,17,9,4
164,18,16,3,2
165,14,21,5,1
166,16,3,1,12
167,21,3,1,15
168,19,16,4,2
169,2,2,18,20
170,6,0,5,23
171,20,5,2,6
172,7,5,13,18
173,12,12,4,5
174,20,18,3,2
175,21,11,1,9
176,13,18,8,5
177,0,8,6,10
178,9,2,5,7
179,16,2,7,4
180,6,15,12,3
181,9,8,10,13
182,20,13,3,3
183,20,4,3,11
184,21,3,1,12
185,22,18,1,2
186,11,19,2,2
187,19,0,4,21
188,4,17,18,1
189,1,15,18,1
190,1,3,5,10
191,17,1,4,9
192,0,8,13,8
193,8,1,8,21
194,9,3,14,18
195,15,8,2,15
196,10,22,4,1
197,10,12,3,10
198,15,9,8,6
199,14,12,7,4
200,17,10,1,10
201,15,17,2,2
202,8,7,5,6
203,16,8,4,9
204,1,12,4,9
205,3,6,8,15
206,8,13,1,6
207,0,22,13,1
208,15,11,4,3
209,3,4,1,3
210,20,11,3,11
211,9,3,10,15
212,11,19,7,1
213,10,11,3,6
214,14,15,4,5
215,5,22,1,1
216,16,18,2,3
217,18,16,1,3
218,0,4,15,15
219,14,7,3,14
220,2,22,1,1
221,7,19,14,2
222,17,12,3,7
223,6,5,5,13
224,20,18,2,3
225,16,5,5,3
226,17,10,6,6
227,6,4,3,11
228,20,22,3,1
229,18,4,5,13
230,4,1,8,18
231,2,6,12,7
232,6,16,11,6
233,17,0,5,9
234,6,8,7,7
235,12,19,7,4
236,12,16,4,7
237,1,1,17,22
238,7,6,3,11
239,10,6,4,5
240,12,13,11,4
241,12,9,6,12
242,8,9,7,7
243,14,22,6,1
244,10,2,8,17
245,4,7,14,4
246,20,10,1,2
247,11,2,3,7
248,12,3,8,4
249,15,7,8,9
250,14,4,8,4
251,14,8,2,7
252,1,1,2,12
253,5,16,12,6
254,13,6,2,15
255,22,19,1,1
256,20,19,1,4
257,18,20,5,1
258,10,19,4,3
259,5,8,18,1
260,8,20,14,3
261,4,0,2,5
262,2,20,20,3
263,14,0,3,21
264,10,22,12,1
265,17,6,2,4
266,0,11,11,10
267,18,20,4,3
268,3,4,12,15
269,18,21,3,1
270,10,19,6,2
271,3,7,16,12
272,15,16,5,1
273,16,7,2,16
274,14,15,4,2
275,0,9,20,10
276,5,7,9,12
277,19,18,2,5
278,13,13,8,3
279,20,14,3,3
280,11,18,5,2
281,15,18,3,5
282,8,9,5,12
283,19,12,4,5
284,20,17,1,5
285,10,6,11,11
286,14,9,9,9
287,18,5,5,6
288,5,19,10,4
289,10,18,9,1
290,11,6,1,14
291,22,22,1,1
292,18,2,3,15
293,19,16,1,4
294,4,10,5,11
295,4,13,19,10
296,15,0,6,14
297,10,15,6,5
298,5,6,18,9
299,0,9,12,6
300,12,0,7,15
301,15,19,1,1
302,3,15,3,8
303,21,20,1,2
304,7,2,2,17
305,3,1,20,15
306,1,12,3,7
307,14,12,2,6
308,19,6,3,16
309,13,8,5,6
310,2,15,4,7
311,4,21,8,1
312,4,6,3,8
313,4,6,12,17
314,11,14,8,9
315,13,7,5,14
316,19,12,3,1
317,21,5,2,5
318,20,5,1,3
319,18,11,1,3
320,1,14,22,4
321,9,9,6,9
322,7,10,2,11
323,0,11,15,1
324,0,3,18,5
325,2,5,2,2
326,7,12,11,11
327,16,2,5,18
328,20,6,3,10
329,9,8,2,5
330,8,22,3,1
331,12,19,3,4
332,18,11,1,5
333,2,11,2,5
334,14,5,1,1
335,11,20,1,1
336,7,18,14,1
337,18,15,1,6
338,1,10,10,3
339,2,9,16,11
340,8,13,5,2
341,15,15,5,5
342,8,20,1,3
343,18,4,2,12
344,13,10,4,8
345,5,11,10,2
346,2,20,17,3
347,20,20,2,2
348,4,4,9,1
349,8,19,15,3
350,22,19,1,2
351,18,9,4,14
352,1,3,15,12
353,16,5,7,7
354,1,14,15,9
355,17,5,6,12
356,11,15,11,2
357,8,1,12,2
358,20,20,3,3
359,22,20,1,2
360,14,9,7,9
361,19,16,1,1
362,22,9,1,12
363,16,11,2,8
364,3,9,18,13
365,11,1,4,18
366,12,4,5,9
367,13,9,7,5
368,17,2,2,13
369,2,10,21,1
370,7,16,13,5
371,21,5,2,13
372,1,12,14,6
373,3,2,7,12
374,8,16,5,2
375,14,20,5,2
376,14,18,2,2
377,2,18,11,2
378,1,6,21,17
379,11,12,8,6
380,17,18,6,3
381,11,14,3,6
382,6,14,13,3
383,6,7,10,3
384,13,20,4,1
385,6,13,8,3
386,10,3,11,13
387,18,20,2,2
388,5,0,3,5
389,7,19,2,1
390,6,7,8,15
391,14,8,7,10
392,20,15,1,7
393,13,1,7,5
394,16,19,2,3
395,21,19,1,4
396,19,22,3,1
397,15,19,1,2
398,18,5,5,5
399,10,9,5,3
400,0,2,3,14
401,13,19,1,2
402,10,14,4,7
403,6,16,3,7
404,12,21,2,2
405,15,14,6,7
406,0,13,10,10
407,4,13,19,3
408,5,6,14,1
409,4,11,11,7
410,4,22,1,1
411,3,9,19,6
412,13,9,6,9
413,2,20,11,1
414,5,8,6,9
415,10,1,9,12
416,11,0,10,8
417,9,10,11,9
418,10,15,7,8
419,9,4,5,9
420,9,10,14,13
421,10,16,10,5
422,18,20,2,3
423,8,15,7,3
424,16,22,6,1
425,22,17,1,5
426,15,19,7,4
427,20,15,2,2
428,18,16,4,5
429,4,9,18,9
430,1,16,21,7
431,21,2,1,15
432,11,17,7,6
433,19,11,4,6
434,18,9,2,10
435,18,12,2,11
436,13,16,4,5
437,1,15,5,7
438,6,9,12,5
439,15,6,7,8
440,0,2,16,15
441,9,11,3,11
442,17,14,2,1
443,7,16,9,2
444,13,0,2,19
445,7,14,5,4
446,6,15,11,6
447,3,18,18,2
448,1,12,13,6
449,8,19,6,1
450,15,0,7,10
451,0,16,3,1
452,8,2,3,12
453,1,0,18,5
454,9,18,3,3
455,13,8,9,3
456,15,12,5,11
457,7,13,6,2
458,16,19,3,2
459,5,8,12,9
460,8,12,1,5
461,10,17,3,6
462,17,6,5,10
463,14,19,5,4
464,15,12,2,9
465,8,18,3,3
466,3,7,11,1
467,15,0,1,2
468,4,20,6,2
469,18,4,3,5
470,0,17,14,6
471,11,12,8,4
472,22,2,1,18
473,3,20,19,3
474,16,11,7,4
475,4,1,9,16
476,9,5,3,10
477,0,6,7,1
478,6,6,4,16
479,20,8,3,1
480,22,10,1,11
481,5,20,9,2
482,4,15,18,6
483,17,5,1,13
484,5,14,8,8
485,20,19,2,3
486,7,7,14,3
487,21,7,1,16
488,5,3,3,4
489,19,15,3,1
490,22,11,1,11
491,22,5,1,4
492,2,15,11,7
493,13,21,7,2
494,0,7,1,2
495,2,20,19,3
496,8,21,3,1
497,16,20,1,3
498,3,16,12,5
499,12,14,5,1
500,13,15,2,3
501,21,14,1,9
502,1,15,6,7
503,6,11,6,5
504,21,11,2,11
505,15,5,2,18
506,21,11,2,12
507,19,12,3,6
508,1,4,21,17
509,2,18,17,3
510,20,9,2,4
511,13,21,1,1
512,14,5,1,14
513,9,6,8,15
514,19,5,1,9
515,15,15,6,8
516,3,18,13,4
517,9,4,9,16
518,6,18,1,3
519,1,9,16,6
520,3,12,18,7
521,0,17,2,1
522,6,5,16,18
523,3,8,13,10
524,11,10,2,6
525,2,22,15,1
526,15,8,3,6
527,9,4,3,8
528,12,3,9,10
529,14,14,9,5
530,6,21,4,1
531,12,12,4,8
532,22,17,1,6
533,22,1,1,17
534,17,16,5,7
535,1,4,6,11
536,11,6,8,3
537,21,3,2,17
538,20,2,2,15
539,8,10,6,8
540,17,3,4,10
541,3,14,7,6
542,3,11,4,4
543,13,15,10,4
544,1,4,8,6
545,3,4,3,13
546,16,0,1,16
547,4,19,8,2
548,21,9,1,1
549,3,8,19,4
550,18,11,2,6
551,17,12,5,3
552,13,18,2,2
553,7,16,13,3
554,7,11,16,1
555,0,8,8,14
556,10,19,6,3
557,4,4,12,18
558,12,0,2,20
559,15,21,6,2
560,6,9,17,8
561,8,19,13,1
562,2,18,13,3
563,18,22,4,1
564,0,16,17,3
565,7,11,4,3
566,5,15,15,7
567,3,2,19,11
568,19,12,1,7
569,14,17,7,3
570,10,21,5,2
571,18,19,3,2
572,11,5,6,3
573,20,9,1,14
574,8,0,7,20
575,9,14,12,4
576,2,3,8,18
577,15,19,5,3
578,14,3,7,2
579,10,16,5,7
580,20,19,3,2
581,9,14,9,8
582,4,0,10,17
583,8,15,9,6
584,1,20,19,2
585,19,6,4,10
586,15,5,4,16
587,16,10,2,8
588,5,1,3,11
589,9,21,3,2
590,11,19,1,2
591,14,3,8,6
592,1,18,13,4
593,11,21,8,2
594,8,17,3,5
595,2,15,9,7
596,2,14,16,7
597,16,16,2,3
598,2,1,2,22
599,9,11,10,9
600,6,5,11,9
601,22,18,1,5
602,19,15,3,2
603,3,0,12,11
604,10,5,11,2
605,22,22,1,1
606,0,8,1,4
607,22,21,1,2
608,11,15,8,7
609,4,13,18,7
610,14,10,1,7
611,12,5,3,4
612,13,15,2,2
613,3,15,9,2
614,22,21,1,2
615,15,13,6,10
616,10,2,10,21
617,13,15,5,8
618,11,3,10,4
619,7,2,12,10
620,10,3,11,13
621,16,11,2,12
622,0,13,3,6
623,16,6,2,14
624,18,11,5,3
625,14,3,5,13
626,10,9,13,11
627,3,11,8,5
628,10,1,5,9
629,2,18,13,3
630,5,10,11,1
631,18,1,1,9
632,13,20,10,1
633,7,14,6,6
634,2,7,2,3
635,0,13,4,10
636,16,20,1,3
637,20,7,3,9
638,13,20,6,2
639,17,19,5,1
640,9,16,14,5
641,3,22,12,1
642,19,2,1,21
643,8,3,4,15
644,8,21,15,2
645,13,1,6,2
646,6,5,1,8
647,3,17,14,2
648,2,11,5,5
649,3,9,8,2
650,0,19,9,4
651,11,9,8,5
652,18,21,5,2
653,2,15,13,6
654,14,12,5,10
655,19,22,4,1
656,16,3,4,20
657,5,2,16,13
658,9,20,1,3
659,0,12,16,7
660,21,9,2,8
661,17,17,4,5
662,3,21,3,1
663,13,21,1,2
664,17,13,2,5
665,4,9,9,8
666,6,1,6,22
667,6,8,13,13
668,18,8,5,11
669,20,16,1,7
670,20,11,2,10
671,20,12,3,11
672,5,22,3,1
673,14,1,9,18
674,1,11,21,9
675,3,0,13,19
676,4,14,7,1
677,2,5,14,2
678,22,10,1,11
679,0,17,8,6
680,17,21,3,2
681,12,2,5,10
682,0,16,1,5
683,4,17,11,3
684,6,4,14,7
685,14,2,4,10
686,21,12,1,9
687,20,6,3,14
688,1,4,13,4
689,18,17,1,2
690,20,16,2,3
691,21,17,2,2
692,20,12,1,9
693,22,13,1,10
694,12,20,3,1
695,2,22,13,1
696,7,4,11,7
697,22,3,1,16
698,8,0,13,11
699,7,16,11,5
700,15,2,6,6
701,3,15,20,5
702,9,19,2,1
703,18,18,4,2
704,17,17,4,5
705,1,19,2,2
706,11,15,6,1
707,6,16,15,6
708,22,4,1,12
709,6,1,4,4
710,18,4,2,13
711,15,13,4,8
712,16,0,7,11
713,15,6,8,15
714,2,1,20,17
715,12,0,1,18
716,6,11,2,10
717,20,3,2,14
718,21,0,2,4
719,18,14,4,1
720,17,13,5,10
721,18,21,4,2
722,6,3,9,16
723,0,10,4,7
724,14,14,8,9
725,22,3,1,6
726,19,22,1,1
727,6,19,2,1
728,16,8,7,1
729,6,19,9,1
730,18,11,4,12
731,10,8,3,1
732,18,0,3,16
733,10,16,3,5
734,20,22,1,1
735,0,0,17,7
736,16,9,6,10
737,1,1,13,3
738,22,8,1,13
739,11,7,7,8
740,3,21,10,1
741,19,2,2,4
742,6,20,9,1
743,22,15,1,6
744,20,10,2,7
745,5,4,18,16
746,18,6,3,9
747,11,5,9,16
748,7,9,5,11
749,19,9,1,7
750,10,3,3,16
751,15,8,5,1
752,3,7,12,9
753,20,5,2,14
754,18,22,2,1
755,20,15,1,2
756,13,5,2,8
757,9,2,1,7
758,13,21,6,2
759,3,1,9,7
760,18,18,1,1
761,5,20,1,1
762,4,13,2,5
763,10,22,12,1
764,6,22,4,1
765,19,9,3,3
766,4,12,18,1
767,5,9,3,4
768,10,13,4,6
769,15,0,5,16
770,22,14,1,9
771,20,21,3,1
772,15,18,8,4
773,16,17,3,3
774,8,22,6,1
775,11,14,6,3
776,6,20,6,3
777,3,8,4,11
778,22,0,1,15
779,3,17,15,5
780,21,3,1,20
781,2,21,19,1
782,16,10,7,5
783,11,6,6,17
784,9,3,7,3
785,10,6,10,6
786,16,19,5,3
787,6,22,15,1
788,19,16,1,7
789,1,12,7,6
790,12,15,1,8
791,4,4,5,4
792,7,3,6,17
793,1,4,12,15
794,14,14,2,8
795,11,19,7,4
796,17,5,2,2
797,4,16,16,6
798,6,22,16,1
799,3,6,11,7
800,21,20,1,1
801,15,14,8,1
802,8,11,9,12
803,13,14,2,8
804,0,6,1,11
805,7,10,2,4
806,8,4,6,14
807,14,15,1,6
808,11,5,2,8
809,13,15,3,7
810,21,4,1,2
811,18,10,4,11
812,15,20,4,1
813,6,5,8,17
814,21,15,2,8
815,17,3,5,14
816,22,4,1,13
817,5,2,5,8
818,18,0,4,12
819,19,6,4,5
820,19,7,3,11
821,19,18,2,1
822,18,8,5,4
823,8,21,12,2
824,15,5,2,12
825,19,14,3,2
826,17,2,1,2
827,21,3,1,3
828,19,4,3,7
829,7,1,1,14
830,18,5,5,11
831,8,14,1,8
832,21,15,1,6
833,1,3,21,20
834,21,4,2,17
835,4,0,1,21
836,4,13,12,7
837,14,3,9,17
838,17,11,4,6
839,20,10,1,11
840,12,5,2,10
841,22,5,1,18
842,12,17,7,6
843,22,10,1,12
844,10,20,7,1
845,0,17,22,1
846,8,12,14,3
847,5,4,2,18
848,9,15,3,7
849,11,18,4,1
850,0,21,11,2
851,14,3,9,6
852,14,11,5,3
853,12,13,9,4
854,22,0,1,20
855,21,20,1,3
856,0,14,17,2
857,2,15,8,1
858,18,17,1,5
859,11,19,9,2
860,12,17,11,1
861,12,9,2,5
862,17,21,5,1
863,11,19,1,3
864,7,10,2,5
865,3,9,12,3
866,14,9,4,14
867,16,20,5,2
868,22,9,1,12
869,5,16,8,2
870,11,6,11,5
871,2,1,21,4
872,21,15,1,8
873,17,8,3,3
874,1,7,2,3
875,19,22,4,1
876,15,10,2,10
877,19,18,3,4
878,22,16,1,3
879,3,0,9,14
880,6,17,11,6
881,2,4,17,14
882,3,5,19,15
883,4,17,18,1
884,5,1,4,2
885,16,4,2,5
886,18,15,4,6
887,21,1,2,21
888,6,9,1,11
889,21,0,1,20
890,1,14,18,3
891,3,2,16,12
892,11,2,5,3
893,18,22,2,1
894,17,8,2,2
895,20,19,3,4
896,11,21,12,1
897,22,18,1,2
898,10,5,5,3
899,14,7,5,11
900,8,20,10,3
901,11,20,10,1
902,0,22,14,1
903,2,18,15,4
904,3,7,20,4
905,8,6,13,15
906,16,6,2,1
907,1,17,13,2
908,8,21,3,1
909,3,7,19,15
910,13,22,8,1
911,3,10,8,5
912,18,19,2,1
913,7,13,6,7
914,15,21,5,2
915,14,12,9,9
916,17,19,3,3
917,1,15,14,7
918,3,9,15,1
919,9,1,7,15
920,12,2,6,7
921,5,8,10,2
922,10,0,2,12
923,12,12,2,3
924,19,5,1,3
925,16,2,6,15
926,0,7,13,14
927,10,17,5,3
928,20,5,3,17
929,10,22,12,1
930,15,16,7,5
931,0,8,20,10
932,7,17,1,6
933,6,9,5,8
934,14,3,4,18
935,3,12,10,9
936,22,22,1,1
937,4,10,6,4
938,14,1,2,19
939,6,15,14,8
940,9,12,1,6
941,6,3,2,12
942,15,5,1,6
943,12,11,11,12
944,21,20,1,1
945,20,10,2,2
946,11,19,7,1
947,1,9,2,4
948,11,16,3,4
949,1,20,18,3
950,10,3,3,8
951,0,21,4,2
952,14,16,4,5
953,0,19,23,3
954,8,1,10,13
955,7,2,1,18
956,6,22,15,1
957,19,17,3,4
958,12,21,4,2
959,5,17,4,5
960,6,17,7,1
961,15,17,4,2
962,6,8,8,5
963,14,4,7,9
964,5,2,18,15
965,20,2,2,9
966,7,19,13,1
967,12,0,9,22
968,6,6,2,1
969,2,12,19,9
970,10,3,7,13
971,3,11,1,12
972,13,17,8,6
973,5,3,16,15
974,15,10,1,4
975,16,20,1,1
976,8,19,13,1
977,6,7,2,5
978,3,3,19,20
979,12,4,2,6
980,18,19,1,1
981,10,4,9,14
982,12,16,8,1
983,22,17,1,2
984,15,2,2,2
985,18,5,3,3
986,10,6,11,3
987,2,8,4,6
988,14,19,6,1
989,0,16,15,5
990,16,7,1,14
991,19,2,2,15
992,7,21,16,1
993,2,22,5,1
994,11,18,10,2
995,15,5,1,14
996,13,21,10,1
997,8,0,2,5
998,8,9,15,9
999,15,4,5,18
1000,11,1,8,5
1001,7,14,4,8
1002,2,6,19,4
1003,9,7,12,2
1004,16,5,4,12
1005,14,18,9,2
1006,9,14,9,5
1007,22,12,1,11
1008,22,22,1,1
1009,19,16,4,3
1010,18,21,5,1
1011,11,20,3,1
1012,1,15,3,7
1013,13,5,9,4
1014,7,12,3,10
1015,16,8,1,1
1016,9,16,7,7
1017,22,6,1,4
1018,11,7,10,7
1019,9,5,4,14
1020,9,13,9,6
1021,14,14,7,1
1022,17,11,4,9
1023,0,3,14,3
1024,21,15,2,6
1025,10,18,2,2
1026,20,10,3,8
1027,11,13,1,7
1028,9,19,10,4
1029,9,19,10,2
1030,0,1,2,12
1031,5,4,18,18
1032,20,8,3,13
1033,10,21,4,1
1034,5,18,6,5
1035,3,3,17,17
1036,10,11,7,10
1037,22,4,1,10
1038,9,11,1,9
1039,0,22,19,1
1040,18,13,2,6
1041,20,21,1,1
1042,7,0,9,23
1043,21,2,1,16
1044,7,8,13,15
1045,21,15,2,6
1046,6,9,11,7
1047,10,14,11,1
1048,21,20,1,3
1049,12,7,7,13
1050,18,18,3,4
1051,9,2,4,6
1052,20,6,1,11
1053,20,3,2,10
1054,8,12,8,8
1055,9,0,5,14
1056,2,12,4,3
1057,21,6,2,3
1058,21,18,1,3
1059,2,7,13,4
1060,5,16,12,3
1061,19,4,3,13
1062,4,13,13,7
1063,6,9,10,1
1064,2,4,5,17
1065,9,15,4,5
1066,14,14,2,7
1067,5,21,7,1
1068,2,5,9,7
1069,21,10,2,12
1070,18,5,3,18
1071,21,3,2,20
1072,15,4,3,6
1073,3,2,14,10
1074,19,18,3,4
1075,2,13,9,10
1076,8,0,7,22
1077,16,10,3,11
1078,11,11,10,2
1079,9,21,10,2
1080,14,10,4,8
1081,11,2,11,3
1082,2,10,1,11
1083,12,22,10,1
1084,21,17,1,4
1085,21,10,1,9
1086,1,17,1,2
1087,19,16,4,3
1088,21,2,1,9
1089,12,14,4,1
1090,1,13,2,1
1091,16,17,6,5
1092,22,7,1,3
1093,7,5,14,8
1094,3,21,16,2
1095,7,22,7,1
1096,11,5,8,17
1097,2,22,14,1
1098,14,6,3,10
1099,3,3,13,15
1100,15,4,1,11
1101,1,6,20,1
1102,21,7,1,7
1103,20,13,2,10
1104,16,10,4,10
1105,16,13,3,10
1106,6,7,10,4
1107,18,22,2,1
1108,14,5,6,2
1109,7,13,6,8
1110,0,4,12,18
1111,19,21,1,2
1112,19,14,4,8
1113,14,19,1,2
1114,16,12,2,8
1115,16,14,5,3
1116,7,11,13,9
1117,11,8,12,10
1118,8,22,7,1
1119,11,17,6,1
1120,13,11,5,12
1121,2,0,8,22
1122,14,6,6,8
1123,19,10,3,9
1124,5,18,17,4
1125,12,1,10,7
1126,13,1,1,18
1127,21,6,1,16
1128,22,1,1,13
1129,5,11,3,10
1130,10,9,12,11
1131,0,2,3,9
1132,14,22,9,1
1133,6,8,8,2
1134,22,15,1,2
1135,14,12,5,7
1136,16,19,6,1
1137,8,8,10,15
1138,16,4,6,17
1139,14,16,1,4
1140,2,7,3,2
1141,22,20,1,3
1142,16,17,6,3
1143,17,13,4,4
1144,14,3,5,8
1145,4,6,3,13
1146,22,14,1,2
1147,14,11,6,8
1148,8,18,1,2
1149,17,22,3,1
1150,18,6,5,9
1151,0,15,3,3
1152,9,18,14,3
1153,3,1,5,16
1154,1,6,21,15
1155,4,3,12,7
1156,0,8,12,9
1157,8,7,10,8
1158,6,4,12,15
1159,7,20,14,1
1160,18,2,5,1
1161,5,8,10,7
1162,22,11,1,1
1163,21,21,1,2
1164,14,2,2,12
1165,5,4,10,17
1166,0,15,10,3
1167,21,15,2,2
1168,21,17,2,6
1169,2,20,1,3
1170,5,9,5,14
1171,1,12,19,9
1172,4,14,4,5
1173,9,20,9,3
1174,2,15,18,1
1175,22,1,1,1
1176,16,10,3,13
1177,7,16,11,7
1178,1,9,14,5
1179,8,11,9,8
1180,0,11,19,9
1181,12,16,11,6
1182,22,12,1,1
1183,14,9,8,1
1184,11,3,1,11
1185,22,15,1,1
1186,1,14,14,9
1187,8,18,4,1
1188,19,0,1,21
1189,1,22,3,1
1190,11,18,2,1
1191,5,6,11,14
1192,7,8,4,15
1193,15,2,4,14
1194,15,20,7,3
1195,16,10,3,11
1196,9,15,9,5
1197,16,3,4,3
1198,1,2,9,7
1199,7,16,15,5
1200,12,7,5,10
1201,3,0,10,18
1202,9,6,11,17
1203,17,13,2,7
1204,1,9,3,14
1205,7,20,4,2
1206,3,8,13,7
1207,11,10,3,5
1208,5,9,4,12
1209,3,5,6,2
1210,1,1,7,7
1211,22,14,1,4
1212,18,12,3,9
1213,2,4,4,14
1214,9,2,11,3
1215,17,17,5,3
1216,11,19,5,3
1217,22,6,1,8
1218,17,19,3,4
1219,11,11,3,4
1220,0,1,20,20
1221,18,17,5,3
1222,0,16,23,3
1223,17,20,4,1
1224,2,14,13,3
1225,7,15,9,1
1226,21,4,1,15
1227,12,11,3,11
1228,16,18,6,1
1229,12,9,8,8
1230,4,1,19,7
1231,2,22,12,1
1232,0,8,23,13
1233,14,14,6,5
1234,0,18,16,3
1235,22,11,1,10
1236,9,18,14,3
1237,2,10,13,10
1238,1,6,13,15
1239,8,21,4,1
1240,7,13,13,9
1241,14,16,9,5
1242,0,20,17,2
1243,3,3,4,14
1244,13,21,1,1
1245,7,3,13,17
1246,13,7,10,14
1247,4,14,11,1
1248,5,15,11,1
1249,4,6,13,1
1250,7,9,7,1
1251,2,2,10,8
1252,4,16,18,6
1253,13,21,1,2
1254,20,15,2,2
1255,9,17,4,6
1256,3,5,4,8
1257,9,8,9,6
1258,15,15,6,2
1259,16,20,3,2
1260,5,21,16,2
1261,8,17,14,6
1262,2,9,18,3
1263,8,8,8,8
1264,5,18,3,5
1265,6,3,12,18
1266,1,0,10,8
1267,20,19,1,4
1268,4,0,1,9
1269,22,14,1,1
1270,14,22,2,1
1271,14,1,5,8
1272,4,22,17,1
1273,4,17,5,4
1274,12,10,3,8
1275,4,11,17,10
1276,15,18,7,2
1277,20,17,2,6
1278,4,15,2,3
1279,6,17,2,4
1280,15,13,3,5
1281,7,13,3,10
1282,7,14,6,1
1283,9,15,13,2
1284,4,0,10,13
1285,13,11,3,9
1286,11,10,2,11
1287,2,19,19,2
1288,0,15,17,8
1289,2,20,6,2
1290,1,20,3,2
1291,6,17,1,6
1292,4,15,5,5
1293,15,5,8,6
1294,22,11,1,1
1295,4,8,14,3
1296,0,14,3,7
1297,17,4,5,7
1298,11,10,8,13
1299,21,2,2,5
1300,11,1,8,4
1301,1,9,15,7
1302,15,20,5,3
1303,3,0,16,7
1304,22,3,1,12
1305,12,1,6,4
1306,7,4,7,3
1307,13,12,8,2
1308,17,15,3,4
1309,12,3,7,9
1310,4,8,14,3
1311,20,15,1,6
1312,19,12,2,4
1313,13,20,10,3
1314,9,14,14,8
1315,1,14,22,5
1316,5,2,15,12
1317,2,6,9,12
1318,6,13,2,7
1319,22,2,1,14
1320,20,19,1,3
1321,22,6,1,7
1322,1,6,4,11
1323,19,12,2,4
1324,1,1,13,17
1325,20,1,2,18
1326,9,1,3,18
1327,13,3,1,14
1328,11,19,11,1
1329,12,8,7,14
1330,12,16,3,3
1331,22,19,1,4
1332,14,19,6,1
1333,15,18,2,5
1334,19,16,4,2
1335,15,15,4,4
1336,22,17,1,3
1337,7,8,1,12
1338,19,17,3,2
1339,8,9,3,13
1340,5,14,4,6
1341,19,21,1,2
1342,19,20,3,1
1343,10,1,8,15
1344,20,1,2,8
1345,0,8,13,4
1346,3,8,6,2
1347,5,8,15,13
1348,19,18,2,2
1349,6,12,7,3
1350,14,12,5,2
1351,22,0,1,3
1352,11,18,2,3
1353,6,7,7,12
1354,16,22,4,1
1355,11,12,11,3
1356,7,10,3,5
1357,1,10,20,5
1358,9,4,3,5
1359,10,11,8,9
1360,9,9,4,4
